Package,Offline,Live,Discount,ExpectedPrice
NONE,FALSE,FALSE,FALSE,0
STANDARD,FALSE,FALSE,FALSE,150
STANDARD,TRUE,FALSE,FALSE,250
STANDARD,FALSE,TRUE,FALSE,250
STANDARD,TRUE,TRUE,FALSE,350
STANDARD,FALSE,FALSE,TRUE,100
STANDARD,TRUE,FALSE,TRUE,200
STANDARD,FALSE,TRUE,TRUE,200
STANDARD,TRUE,TRUE,TRUE,300
PREMIUM,FALSE,FALSE,FALSE,350
PREMIUM,TRUE,FALSE,FALSE,450
PREMIUM,FALSE,TRUE,FALSE,450
PREMIUM,TRUE,TRUE,FALSE,550
PREMIUM,FALSE,FALSE,TRUE,300
PREMIUM,TRUE,FALSE,TRUE,400
PREMIUM,FALSE,TRUE,TRUE,400
PREMIUM,TRUE,TRUE,TRUE,500
FAMILY,FALSE,FALSE,FALSE,450
FAMILY,TRUE,FALSE,FALSE,550
FAMILY,FALSE,TRUE,FALSE,550
FAMILY,TRUE,TRUE,FALSE,0
FAMILY,FALSE,FALSE,TRUE,400
FAMILY,TRUE,FALSE,TRUE,0
FAMILY,FALSE,TRUE,TRUE,500
FAMILY,TRUE,TRUE,TRUE,0
NONE,TRUE,FALSE,FALSE,0
NONE,TRUE,TRUE,FALSE,0
NONE,TRUE,TRUE,TRUE,0
